cityName,stationName,ownerName,total_COUNT,onlyWomenSongs_COUNT,onlyWomenSongs_PERCENT,b2bWomenSongs_COUNT,b2bWomenSongs_PERCENT,onlyMenSongs_COUNT,onlyMenSongs_PERCENT,b2bMenSongs_COUNT,b2bMenSongs_PERCENT,onlyMixedGenderSongs_COUNT,onlyMixedGenderSongs_PERCENT,b2bMixedGenderSongs_COUNT,b2bMixedGenderSongs_PERCENT,onlyCombinedGenderSongs_COUNT,onlyCombinedGenderSongs_PERCENT,b2bCombinedGenderSongs_COUNT,b2bCombinedGenderSongs_PERCENT,onlyCollabGenderSongs_COUNT,onlyCollabGenderSongs_PERCENT,b2bCollabGenderSongs_COUNT,b2bCollabGenderSongs_PERCENT,combinedCollabDiff_COUNT,combinedCollabDiff_PERCENT,b2bcombinedCollabDiff_COUNT,b2bcombinedCollabDiff_PERCENT,onlyNonWhiteSongs_COUNT,onlyNonWhiteSongs_PERCENT,b2bNonWhiteSongs_COUNT,b2bNonWhiteSongs_PERCENT,onlyNonWhiteWomenSongs_COUNT,onlyNonWhiteWomenSongs_PERCENT,b2bNonWhiteWomenSongs_COUNT,b2bNonWhiteWomenSongs_PERCENT
Austin,KASE-FM,iHeartMedia,5876,581,9.887678692988427,49,0.8339006126616746,4821,82.04560925799865,3864,65.75901974132063,474,8.066712049012933,17,0.2893124574540504,1055,17.95439074200136,114,1.9400953029271615,976,16.60993873383254,105,1.786929884275017,79,1.3444520081688225,9,0.1531654186521445,418,7.113682777399591,28,0.4765146358066712,0,0,0,0
Austin,KVET-FM,iHeartMedia,5842,746,12.769599452242383,5,0.08558712769599452,4818,82.47175624786031,3800,65.04621704895584,274,4.6901745977405,1,0.017117425539198903,1020,17.459774049982883,16,0.27387880862718245,828,14.173228346456693,12,0.20540910647038688,192,3.2865457035261905,4,0.06846970215679557,129,2.208147894556659,2,0.034234851078397806,0,0,0,0
Charlotte,WKKT-FM,iHeartMedia,6118,441,7.208237986270023,19,0.3105590062111801,5108,83.49133703824779,4174,68.22491010134031,569,9.300424975482183,31,0.5067015364498202,1010,16.508662961752208,94,1.5364498202026806,942,15.397188623733246,88,1.4383785550833605,68,1.1114743380189616,6,0.09807126511932007,400,6.538084341288003,14,0.2288329519450801,2,0.032690421706440015,0,0
Charlotte,WSOC-FM,Beasley,6454,560,8.676789587852495,25,0.3873566780291292,5218,80.84908583823986,4151,64.31670281995662,676,10.474124573907655,47,0.7282305546947629,1236,19.15091416176015,182,2.8199566160520604,1130,17.50852184691664,151,2.3396343352959406,106,1.6423923148435087,31,0.4803222807561198,501,7.762627827703749,27,0.41834521227145954,5,0.07747133560582584,0,0
Chicago,WUSN-FM,Audacy/Entercom,6619,786,11.87490557486025,79,1.1935337664299743,5298,80.04230246260764,4187,63.25728962078864,535,8.082791962532104,36,0.5438888049554313,1321,19.957697537392356,217,3.278440852092461,1267,19.14186432995921,197,2.9762804048949993,54,0.8158332074331476,20,0.3021604471974615,653,9.86553860099713,48,0.7251850732739085,0,0,0,0
Cincinnati,WNNF-FM,Cumulus,6060,621,10.247524752475247,14,0.23102310231023102,4949,81.66666666666667,3922,64.71947194719472,490,8.085808580858085,24,0.39603960396039606,1111,18.333333333333332,95,1.5676567656765676,962,15.874587458745875,77,1.2706270627062706,149,2.458745874587457,18,0.29702970297029707,365,6.023102310231023,24,0.39603960396039606,0,0,0,0
Cincinnati,WUBE-FM,Hubbard,6221,648,10.41633177945668,2,0.032149172158816915,5024,80.75872046294808,3833,61.61388844237261,549,8.824947757595242,4,0.06429834431763383,1197,19.24127953705192,19,0.30541713550876065,1139,18.30895354444623,15,0.24111879119112684,58,0.9323259926056906,4,0.06429834431763382,462,7.426458768686706,33,0.530461340620479,0,0,0,0
Cincinnati,WYGY-FM,Hubbard,6696,751,11.215651135005974,13,0.19414575866188769,5607,83.73655913978494,4581,68.41397849462365,338,5.04778972520908,11,0.16427718040621267,1089,16.263440860215052,75,1.1200716845878136,953,14.232377538829152,50,0.7467144563918757,136,2.0310633213859006,25,0.37335722819593786,250,3.733572281959379,7,0.1045400238948626,0,0,0,0
Columbus,WCOL-FM,iHeartMedia,5571,450,8.077544426494345,11,0.1974510859809729,4624,83.00125650691079,3752,67.34877041823731,497,8.921199066594866,33,0.5923532579429186,947,16.99874349308921,91,1.633458984024412,878,15.760186681026745,83,1.4898581942200682,69,1.2385568120624662,8,0.14360078980434388,397,7.126189194040568,14,0.2513013821576019,0,0,0,0
Dallas,KPLX-FM,Cumulus,6028,699,11.59588586595886,15,0.24883875248838755,5002,82.9794293297943,4023,66.73855341738553,327,5.424684804246848,9,0.14930325149303253,1026,17.020570670205707,55,0.9124087591240875,894,14.830789648307896,44,0.7299270072992701,132,2.1897810218978115,11,0.1824817518248174,206,3.417385534173855,8,0.13271400132714,0,0,0,0
