Date,Weekday,Daypart,OWNER,Station,Time Played,Artist,Title,Rel. Date,GRC,genre,ensemble,gender,race,b2b_gender
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,1:55 am,"MCGRAW, TIM",Live Like You Were Dying,2004,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:00 am,LADY ANTEBELLUM,Champagne Night,2020,R,c-,trio,male-female,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:03 am,HARDY,Give Heaven Some Hell,2020,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:06 am,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:17 am,ZAC BROWN BAND,Chicken Fried,2008,G,c-,group,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:20 am,"CLARK, CALLISTA",It's 'Cause I Am,2021,R,c-,solo,women,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:23 am,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:27 am,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:30 am,"BRYAN, LUKE",Waves,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:34 am,"JANSON, CHRIS",Bye Mom,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:38 am,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:48 am,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:52 am,"COMBS, LUKE",Better Together,2019,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,2:55 am,"BENTLEY, DIERKS",Come A Little Closer,2005,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:00 am,"ATKINS, RODNEY",Watching You,2006,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:03 am,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:07 am,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:17 am,"LYNCH, DUSTIN",Thinking 'Bout You f/M. Porter,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:19 am,"STELL, MATT",Everywhere But On,2019,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:23 am,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:26 am,"RODGERS, JAMESON",Some Girls,2017,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:29 am,"ALAINA, LAUREN",Getting Over Him w/Jon Pardi,2020,R,c-,solo,women,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:32 am,"YOUNG, BRETT",Lady,2020,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:35 am,"SWIFT, TAYLOR",I Bet You Think About Me,2021,C,c-,solo,women,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:40 am,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:45 am,"DAVIS, JORDAN",Buy Dirt f/Luke Bryan,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:49 am,"JOHNSON, CODY",Til You Can't,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:52 am,"CHESNEY, KENNY",Knowing You,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,3:56 am,"COMBS, LUKE",When It Rains It Pours,2017,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,4:02 am,OLD DOMINION,Break Up With Him,2014,G,c-,group,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,4:06 am,"CHESNEY, KENNY",Don't Happen Twice,2000,G,c-,solo,men,white,B2Bman
